DDD |    1988114   20000000
DDD | 1287613
DDD | 1287336
DDD | 1287062
DDD | 1286789
DDD | 1286517
DDD | 1286246
DDD | 1285980
DDD | 1285716
DDD | 1285455
DDD | 1285197
DDD | 1284941
DDD | 1284687
DDD | 1284434
DDD | 1284185
DDD | 1283938
DDD | 1283695
DDD | 1283454
DDD | 1283214
DDD | 1282975
DDD | 1282738
DDD | 1282502
DDD | 1282270
DDD | 1282041
DDD | 1281813
DDD | 1281587
DDD | 1281364
DDD | 1281143
DDD | 1280926
DDD | 1280710
DDD | 1280499
DDD | 1280290
DDD | 1280082
DDD | 1279877
DDD | 1279676
DDD | 1279478
DDD | 1279282
DDD | 1279089
DDD | 1278899
DDD | 1278710
DDD | 1278522
DDD | 1278336
DDD | 1278154
DDD | 1277973
DDD | 1277794
DDD | 1277618
DDD | 1277446
DDD | 1277275
DDD | 1277106
DDD | 1276939
DDD | 1276774
DDD | 1276612
DDD | 1276452
DDD | 1276294
DDD | 1276137
DDD | 1275983
DDD | 1275832
DDD | 1275682
DDD | 1275535
DDD | 1275389
DDD | 1275245
DDD | 1275104
DDD | 1274964
DDD | 1274827
DDD | 1274691
DDD | 1274556
DDD | 1274425
DDD | 1274295
DDD | 1274168
DDD | 1274045
DDD | 1273927
DDD | 1273810
DDD | 1273695
DDD | 1273582
DDD | 1273470
DDD | 1273359
DDD | 1273252
DDD | 1273149
DDD | 1273047
DDD | 1272949
DDD | 1272853
DDD | 1272759
DDD | 1272668
DDD | 1272578
DDD | 1272489
DDD | 1272403
DDD | 1272319
DDD | 1272236
DDD | 1272154
DDD | 1272073
DDD | 1271995
DDD | 1271919
DDD | 1271844
DDD | 1271774
DDD | 1271707
DDD | 1271643
DDD | 1271580
DDD | 1271518
DDD | 1271458
DDD | 1271400
DDD | 1271345
DDD | 1271291
DDD | 1271239
DDD | 1271188
DDD | 1271138
DDD | 1271090
DDD | 1271043
DDD | 1270999
DDD | 1270956
DDD | 1270916
DDD | 1270882
DDD | 1270850
DDD | 1270819
DDD | 1270790
DDD | 1270764
DDD | 1270739
DDD | 1270716
DDD | 1270696
DDD | 1270678
DDD | 1270662
DDD | 1270647
DDD | 1270634
DDD | 1270626
DDD | 1270619
DDD | 1270613
DDD | 1270609
DDD | 1270607
1270607
